Match Time in Seconds,Gi/No Gi,Skill / Belt,Division,Submission,Team,Conference,Year
888,GI,BROWN,MEN,KNEEBAR,NA,RALEIGH 2016,2016
655,GI,BROWN,MEN,KNEEBAR,NA,RALEIGH 2016,2016
256,GI,BROWN,MEN,KNEEBAR,NA,RICHMOND 2016,2016
151,GI,BROWN,MEN,KNEEBAR,NA,RALEIGH 2017,2017
199,GI,BROWN,MEN,KNEEBAR,NA,RICHMOND 2017,2017
128,GI,BROWN,MEN,KNEEBAR,NA,RALEIGH 2018,2018
937,GI,BROWN,MEN,KNEEBAR,NA,RALEIGH 2018,2018
164,GI,BROWN,MEN,LAPEL CHOKE,EASTERN ACADEMY,SUB ONLY VI,2010
488,GI,BROWN,MEN 30+,NORTH/SOUTH CHOKE,NA,COLUMBIA 2018,2018
493,GI,BROWN,MEN 30+,NORTH/SOUTH CHOKE,NA,RICHMOND 2018,2018
375,GI,BROWN,MEN,OMOPLATA,NA,RICHMOND 2017,2017
212,GI,BROWN,MEN,REVERSE OMOPLATA,NA,COLUMBIA 2018,2018
216,GI,BROWN,MEN,RNC,NA,CHICAGO 2014,2014
216,GI,BROWN,MEN,RNC,NA,CHICAGO 2014,2014
70,GI,BROWN,MEN,STRAIGHT ANKLE LOCK,NA,VIRGINIA BEACH 2016,2016
123,GI,BROWN,MEN,STRAIGHT ANKLE LOCK,NA,RICHMOND 2016,2016
262,GI,BROWN,MEN,STRAIGHT ANKLE LOCK,NA,RICHMOND 2016,2016
591,GI,BROWN,MEN,STRAIGHT ANKLE LOCK,NA,RALEIGH 2017,2017
168,GI,BROWN,MEN,STRAIGHT ANKLE LOCK,NA,COLUMBIA 2018,2018
281,GI,BROWN,MEN,STRAIGHT ANKLE LOCK,NA,COLUMBIA 2018,2018
117,GI,BROWN,MEN,STRAIGHT ANKLE LOCK,NA,GREENSBORO 2019,2019
818,GI,BROWN,MEN,TOEHOLD,NA,GREENSBORO 2014,2014
1913,GI,BROWN,MEN,TOEHOLD,NA,COLUMBIA 2018,2018
621,GI,BROWN,MEN 30+,TOEHOLD,NA,GREENSBORO 2018,2018
1608,GI,BROWN,MEN,TOEHOLD,NA,RICHMOND 2018,2018
1812,GI,BROWN,MEN,TOEHOLD,NA,RICHMOND 2018,2018
17,GI,BROWN,MEN,TOEHOLD,NA,RICHMOND 2014,2014
107,GI,BROWN,MEN,TOEHOLD,NA,VIRGINIA BEACH 2016,2016
247,GI,BROWN,MEN,TOEHOLD,NA,VIRGINIA BEACH 2016,2016
103,GI,BROWN,MEN,TOEHOLD,NA,RICHMOND 2016,2016
213,GI,BROWN,MEN,TOEHOLD,NA,RICHMOND 2017,2017
65,GI,BROWN,MEN,TOEHOLD,NA,RICHMOND 2017,2017
563,GI ,BROWN,MEN,TOEHOLD,NA,GREENSBORO 2018,2018
187,GI,BROWN,MEN,TRIANGLE,NA,RICHMOND 2013,2013
258,GI,BROWN,MEN,TRIANGLE,NA,CHICAGO 2014,2014
258,GI,BROWN,MEN,TRIANGLE,NA,CHICAGO 2014,2014
223,GI,BROWN,MEN,TRIANGLE,NA,RICHMOND 2014,2014
1079,GI,BROWN,MEN,TRIANGLE,NA,RICHMOND 2014,2014
212,GI,BROWN,MEN,TRIANGLE,NA,VIRGINIA BEACH 2015,2015
360,GI,BROWN,MEN,TRIANGLE,NA,RICHMOND 2015,2015
84,GI,BROWN,MEN,TRIANGLE,NA,RICHMOND 2016,2016
573,GI,BROWN,MEN,TRIANGLE,NA,RICHMOND 2016,2016
293,GI,BROWN,MEN,TRIANGLE,NA,VIRGINIA BEACH 2017,2017
502,GI,BROWN,MEN,TRIANGLE,NA,RICHMOND 2017,2017
103,GI,BROWN,MEN,TRIANGLE,NA,RICHMOND 2017,2017
68,GI,BROWN,WOMENS,TRIANGLE,NA,RALEIGH 2018,2018
89,GI,BROWN,MEN,TRIANGLE,NA,RALEIGH 2018,2018
371,GI,BROWN,MEN,TRIANGLE,NA,RALEIGH 2018,2018
220,GI,BROWN,MEN,TRIANGLE,NA,RICHMOND 2018,2018
3527,GI,BROWN,MEN,TRIANGLE,NA,RICHMOND 2018,2018
370,GI,BROWN,MEN,TRIANGLE,NA,RICHMOND 2018,2018
62,GI,BROWN,MEN,WRISTLOCK,NA,VIRGINIA BEACH 2015,2015
385,GI,BROWN,MEN 30+,WRISTLOCK,NA,RALEIGH 2017,2017
110,GI,BROWN,MEN,WRISTLOCK,NA,COLUMBIA 2018,2018
61,GI,EXHIBITION,JUVENILE,ARMBAR,NA,COLUMBIA 2018,2018
57,GI ,EXHIBITION,JUVENILE,KIMURA,NA,COLUMBIA 2018,2018
240,NO GI,EXHIBITION,JUVENILE,POINTS,NA,COLUMBIA 2018,2018
63,GI,EXHIBITION,JUVENILE,RNC,NA,COLUMBIA 2018,2018
87,NO GI,INTERMEDIATE,JUVENILE,AMERICANA,NA,VIRGINIA BEACH 2016,2016
147,GI,INTERMEDIATE,JUVENILE,ARMBAR,NA,VIRGINIA BEACH 2016,2016
29,GI,INTERMEDIATE,JUVENILE,ARMBAR,NA,VIRGINIA BEACH 2016,2016
65,GI,INTERMEDIATE,JUVENILE,CHOKE (non-descrip),NA,VIRGINIA BEACH 2016,2016
119,NO GI,INTERMEDIATE,JUVENILE,RNC,NA,VIRGINIA BEACH 2016,2016
96,GI,INTERMEDIATE,JUVENILE,TRIANGLE,NA,VIRGINIA BEACH 2016,2016
94,GI,INTERMEDIATE,JUVENILE,,NA,VIRGINIA BEACH 2016,2016
219,GI,INTERMEDIATE/ADVANCED,JUVENILE,ARMBAR,NA,VIRGINIA BEACH 2016,2016
86,NO GI,INTERMEDIATE/ADVANCED,JUVENILE,ARMBAR,NA,VIRGINIA BEACH 2016,2016
99,GI,INTERMEDIATE/ADVANCED,JUVENILE,BOW AND ARROW CHOKE,NA,VIRGINIA BEACH 2016,2016
240,GI,INTERMEDIATE/ADVANCED,JUVENILE,POINTS,NA,VIRGINIA BEACH 2016,2016
240,GI,INTERMEDIATE/ADVANCED,JUVENILE,POINTS,NA,VIRGINIA BEACH 2016,2016
240,NO GI,INTERMEDIATE/ADVANCED,JUVENILE,POINTS,NA,VIRGINIA BEACH 2016,2016
52,NO GI,INTERMEDIATE/ADVANCED,JUVENILE,RNC,NA,VIRGINIA BEACH 2016,2016
46,NO GI,INTERMEDIATE/ADVANCED,JUVENILE,TRIANGLE,NA,VIRGINIA BEACH 2016,2016
503,NO GI,INTERMEDIATE,MEN,ACHILLES LOCK,GRACIE BARRA,SUB ONLY VI,2010
72,GI,INTERMEDIATE,JUVENILE,AMERICANA,NA,RICHMOND 2017,2017
106,GI,INTERMEDIATE,JUVENILE,AMERICANA,NA,GREENSBORO 2018,2018
75,GI,INTERMEDIATE,JUVENILE,AMERICANA,NA,CHICAGO 2014,2014
31,GI,INTERMEDIATE,JUVENILE,AMERICANA,NA,RALEIGH 2018,2018
30,GI ,INTERMEDIATE,JUVENILE,AMERICANA,NA,VIRGINIA BEACH 2018,2018
64,NO GI,INTERMEDIATE,MEN 30+ ,AMERICANA,KNUCKLE UP,SUB ONLY VI,2010
102,NO GI,INTERMEDIATE,WOMEN,AMERICANA,BJJ REVOLUTION,SUB ONLY VI,2010
123,NO GI,INTERMEDIATE,WOMEN,AMERICANA,BJJ REVOLUTION,SUB ONLY VI,2010
186,NO GI,INTERMEDIATE,MEN 30+ ,AMERICANA,LIMAA,SUB ONLY VI,2010
546,NO GI,INTERMEDIATE,MEN 30+ ,AMERICANA,LIMAA,SUB ONLY VI,2010
845,NO GI,INTERMEDIATE,MEN 30+ ,AMERICANA,SPORTS EXTREME,PHILLY 2010,2010
1035,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,RICHMOND 2013,2013
540,NO GI,INTERMEDIATE,MEN 30+,AMERICANA,NA,RICHMOND 2013,2013
509,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,RICHMOND 2013,2013
396,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,RICHMOND 2013,2013
235,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,RICHMOND 2013,2013
132,NO GI,INTERMEDIATE,MEN 30+,AMERICANA,NA,RICHMOND 2013,2013
80,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,RICHMOND 2013,2013
2460,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,CHICAGO 2014,2014
261,NO GI,INTERMEDIATE,WOMEN,AMERICANA,NA,CHICAGO 2014,2014
2460,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,CHICAGO 2014,2014
261,NO GI,INTERMEDIATE,WOMEN,AMERICANA,NA,CHICAGO 2014,2014
279,NO GI,INTERMEDIATE,MEN 30+,AMERICANA,NA,GREENSBORO 2014,2014
624,NO GI,INTERMEDIATE,MEN 30+,AMERICANA,NA,GREENSBORO 2014,2014
128,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,GREENSBORO 2014,2014
1054,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,GREENSBORO 2014,2014
1268,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,GREENSBORO 2014,2014
92,NO GI,INTERMEDIATE,MEN 30+,AMERICANA,NA,RICHMOND 2014,2014
456,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,RICHMOND 2014,2014
1027,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,RICHMOND 2014,2014
171,NO GI,INTERMEDIATE,WOMEN,AMERICANA,NA,RICHMOND 2014,2014
223,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,GREENSBORO 2015,2015
720,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,GREENSBORO 2015,2015
322,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,VIRGINIA BEACH 2015,2015
662,NO GI,INTERMEDIATE,MEN 30+,AMERICANA,NA,RICHMOND 2015,2015
934,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,RICHMOND 2015,2015
230,NO GI,INTERMEDIATE,MEN 30+,AMERICANA,NA,VIRGINIA BEACH 2016,2016
397,NO GI,INTERMEDIATE,MEN 30+,AMERICANA,NA,VIRGINIA BEACH 2016,2016
454,NO GI,INTERMEDIATE,MEN 30+,AMERICANA,NA,VIRGINIA BEACH 2016,2016
505,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,VIRGINIA BEACH 2016,2016
2076,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,RALEIGH 2016,2016
1499,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,RALEIGH 2016,2016
189,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,RALEIGH 2016,2016
128,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,RALEIGH 2016,2016
244,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,RICHMOND 2016,2016
319,NO GI,INTERMEDIATE,MEN 30+,AMERICANA,NA,RICHMOND 2016,2016
674,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,RICHMOND 2016,2016
2238,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,RICHMOND 2016,2016
507,NO GI,INTERMEDIATE,WOMEN,AMERICANA,NA,CHARLOTTE 2017,2017
354,NO GI,INTERMEDIATE,MEN 30+,AMERICANA,NA,CHARLOTTE 2017,2017
150,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,RALEIGH 2017,2017
196,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,RALEIGH 2017,2017
572,NO GI,INTERMEDIATE,WOMEN,AMERICANA,NA,VIRGINIA BEACH 2017,2017
594,NO GI,INTERMEDIATE,MEN 30+,AMERICANA,NA,VIRGINIA BEACH 2017,2017
2224,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,RICHMOND 2017,2017
238,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,RICHMOND 2017,2017
124,NO GI,INTERMEDIATE,WOMEN,AMERICANA,NA,COLUMBIA 2018,2018
167,NO GI,INTERMEDIATE,MEN 30+,AMERICANA,NA,RALEIGH 2018,2018
256,NO GI,INTERMEDIATE,MEN 30+,AMERICANA,NA,RALEIGH 2018,2018
366,NO GI,INTERMEDIATE,MEN 30+,AMERICANA,NA,RALEIGH 2018,2018
1084,NO GI,INTERMEDIATE,MEN 30+,AMERICANA,NA,RALEIGH 2018,2018
128,NO GI,INTERMEDIATE,WOMEN,AMERICANA,NA,RALEIGH 2018,2018
622,NO GI,INTERMEDIATE,WOMEN,AMERICANA,NA,RALEIGH 2018,2018
1500,NO GI,INTERMEDIATE,WOMEN,AMERICANA,NA,RALEIGH 2018,2018
382,NO GI,INTERMEDIATE,WOMEN,AMERICANA,NA,RALEIGH 2018,2018
1682,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,VIRGINIA BEACH 2018,2018
535,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,VIRGINIA BEACH 2018,2018
620,NO GI,INTERMEDIATE,MEN 30+,AMERICANA,NA,GREENSBORO 2018,2018
86,NO GI,INTERMEDIATE,JUVENILE,AMERICANA,NA,RICHMOND 2018,2018
1041,NO GI,INTERMEDIATE,WOMEN,AMERICANA,NA,RICHMOND 2018,2018
355,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,RICHMOND 2018,2018
639,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,RICHMOND 2018,2018
285,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,RICHMOND 2018,2018
136,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,RICHMOND 2018,2018
816,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,RICHMOND 2018,2018
305,NO GI,INTERMEDIATE,MEN,AMERICANA,NA,RICHMOND 2018,2018
1620,NO GI,INTERMEDIATE,WOMEN,AMERICANA,NA,RICHMOND 2018,2018
1251,NO GI,INTERMEDIATE,MEN 30+,AMERICANA,NA,GREENSBORO 2019,2019
304,NO GI ,INTERMEDIATE,MEN,AMERICANA,NA,RALEIGH 2017,2017
379,NO GI ,INTERMEDIATE,MEN,AMERICANA,NA,RALEIGH 2017,2017
540,NO GI ,INTERMEDIATE,WOMEN,AMERICANA,NA,RALEIGH 2017,2017
642,NO GI ,INTERMEDIATE,WOMEN,AMERICANA,NA,RALEIGH 2017,2017
342,NO GI,INTERMEDIATE,MEN,ANACONDA CHOKE,SPORTS EXTREME,PHILLY 2010,2010
240,NO GI,INTERMEDIATE,MEN,ANACONDA CHOKE,NA,VIRGINIA BEACH 2018,2018
377,NO GI,INTERMEDIATE,MEN,ANACONDA CHOKE,NA,RICHMOND 2014,2014
154,NO GI,INTERMEDIATE,MEN 30+ ,ANKLE LOCK,SAULO RIBEIRO,SUB ONLY VI,2010
303,NO GI,INTERMEDIATE,MEN 30+ ,ANKLE LOCK,TRIANGLE JIU JITSU,SUB ONLY VI,2010
437,NO GI,INTERMEDIATE,MEN,ANKLE LOCK,BJJ REVOLUTION,SUB ONLY VI,2010
878,NO GI,INTERMEDIATE,WOMEN,ANKLE LOCK,BJJ REVOLUTION,SUB ONLY VI,2010
6035,NO GI,INTERMEDIATE,MEN,ANKLE LOCK,NA,RICHMOND 2013,2013
481,NO GI,INTERMEDIATE,MEN,ANKLE LOCK,NA,RICHMOND 2013,2013
436,NO GI,INTERMEDIATE,MEN,ANKLE LOCK,NA,RICHMOND 2013,2013
220,NO GI,INTERMEDIATE,MEN,ANKLE LOCK,NA,RICHMOND 2013,2013
210,NO GI,INTERMEDIATE,MEN,ANKLE LOCK,NA,RICHMOND 2013,2013
107,NO GI,INTERMEDIATE,MEN,ANKLE LOCK,NA,RICHMOND 2013,2013
120,NO GI,INTERMEDIATE,MEN,ANKLE LOCK,NA,CHICAGO 2014,2014
120,NO GI,INTERMEDIATE,MEN,ANKLE LOCK,NA,CHICAGO 2014,2014
1531,NO GI,INTERMEDIATE,MEN,ANKLE LOCK,NA,GREENSBORO 2014,2014
389,NO GI,INTERMEDIATE,WOMEN,ANKLE LOCK,NA,VIRGINIA BEACH 2016,2016
857,NO GI,INTERMEDIATE,WOMEN,ANKLE LOCK,NA,VIRGINIA BEACH 2016,2016
779,NO GI,INTERMEDIATE,MEN,ANKLE LOCK,NA,RALEIGH 2016,2016
1280,NO GI,INTERMEDIATE,MEN,ANKLE LOCK,NA,CHARLOTTE 2017,2017
43,NO GI,INTERMEDIATE,MEN,ANKLE LOCK,NA,CHARLOTTE 2017,2017
387,NO GI,INTERMEDIATE,MEN 30+,ANKLE LOCK,NA,RALEIGH 2018,2018
325,NO GI,INTERMEDIATE,MEN,ANKLE LOCK,NA,VIRGINIA BEACH 2018,2018
159,NO GI,INTERMEDIATE,WOMEN,ANKLE LOCK,NA,GREENSBORO 2018,2018
6000,NO GI,INTERMEDIATE,MEN,ANKLE LOCK,NA,GREENSBORO 2018,2018
1655,NO GI,INTERMEDIATE,MEN,ANKLE LOCK,NA,RICHMOND 2018,2018
455,NO GI,INTERMEDIATE,MEN,ANKLE LOCK,NA,RICHMOND 2018,2018
624,NO GI,INTERMEDIATE,MEN,ANKLE LOCK,NA,RICHMOND 2018,2018
106,NO GI,INTERMEDIATE,MEN,ANKLE LOCK,NA,RICHMOND 2018,2018
435,NO GI ,INTERMEDIATE,MEN,ANKLE LOCK,NA,RALEIGH 2017,2017
93,NO GI,INTERMEDIATE,MEN 30+ ,ARM TRIANGLE,BJJ REVOLUTION,SUB ONLY VI,2010
711,NO GI,INTERMEDIATE,MEN,ARM TRIANGLE,NJMA,PHILLY 2010,2010
761,NO GI,INTERMEDIATE,MEN 30+,ARM TRIANGLE,NA,RICHMOND 2013,2013
350,NO GI,INTERMEDIATE,MEN 30+,ARM TRIANGLE,NA,RICHMOND 2013,2013
110,NO GI,INTERMEDIATE,MEN,ARM TRIANGLE,NA,RICHMOND 2013,2013
200,NO GI,INTERMEDIATE,MEN,ARM TRIANGLE,NA,ORLANDO 2011,2011
87,NO GI,INTERMEDIATE,MEN,ARM TRIANGLE,NA,ORLANDO 2011,2011
229,NO GI,INTERMEDIATE,MEN,ARM TRIANGLE,NA,VIRGINIA BEACH 2016,2016
543,NO GI,INTERMEDIATE,MEN,ARM TRIANGLE,NA,VIRGINIA BEACH 2016,2016
817,NO GI,INTERMEDIATE,MEN,ARM TRIANGLE,NA,VIRGINIA BEACH 2016,2016
117,NO GI,INTERMEDIATE,MEN,ARM TRIANGLE,NA,CHARLOTTE 2017,2017
386,NO GI,INTERMEDIATE,MEN 30+,ARM TRIANGLE,NA,VIRGINIA BEACH 2017,2017
292,NO GI,INTERMEDIATE,MEN,ARM TRIANGLE,NA,GREENSBORO 2019,2019
940,NO GI,INTERMEDIATE,MEN,ARM TRIANGLE,NA,GREENSBORO 2019,2019
1137,NO GI,INTERMEDIATE,MEN,ARM TRIANGLE,NA,GREENSBORO 2018,2018
87,NO GI,INTERMEDIATE,JUVENILE,ARM TRIANGLE,NA,COLUMBIA 2018,2018
73,GI,INTERMEDIATE,JUVENILE,ARMBAR,NA,RALEIGH 2017,2017
22,GI,INTERMEDIATE,JUVENILE,ARMBAR,NA,RALEIGH 2017,2017
6,GI,INTERMEDIATE,JUVENILE,ARMBAR,NA,GREENSBORO 2018,2018
229,GI,INTERMEDIATE,JUVENILE,ARMBAR,NA,RICHMOND 2018,2018
178,GI,INTERMEDIATE,JUVENILE,ARMBAR,NA,RALEIGH 2018,2018
36,GI ,INTERMEDIATE,JUVENILE,ARMBAR,NA,GREENSBORO 2018,2018
59,GI ,INTERMEDIATE,JUVENILE,ARMBAR,NA,GREENSBORO 2018,2018
115,GI ,INTERMEDIATE,JUVENILE,ARMBAR,NA,GREENSBORO 2018,2018
101,GI ,INTERMEDIATE,JUVENILE,ARMBAR,NA,GREENSBORO 2018,2018
216,GI ,INTERMEDIATE,JUVENILE,ARMBAR,NA,VIRGINIA BEACH 2018,2018
250,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,VIRGINIA BEACH 2015,2015
97,NO GI,INTERMEDIATE,MEN,ARMBAR,TEAM MANNON,SUB ONLY VI,2010
302,NO GI,INTERMEDIATE,MEN,ARMBAR,GRACIE BARRA,SUB ONLY VI,2010
308,NO GI,INTERMEDIATE,MEN,ARMBAR,TEAM ROC,SUB ONLY VI,2010
338,NO GI,INTERMEDIATE,MEN,ARMBAR,TEAM ROC,SUB ONLY VI,2010
1228,NO GI,INTERMEDIATE,MEN,ARMBAR,LIBERTY,SUB ONLY VI,2010
112,NO GI,INTERMEDIATE,MEN,ARMBAR,PRINCETON BJJ,PHILLY 2010,2010
496,NO GI,INTERMEDIATE,MEN,ARMBAR,PARAMOUNT JJ,PHILLY 2010,2010
893,NO GI,INTERMEDIATE,MEN,ARMBAR,SJU MMA,PHILLY 2010,2010
136,NO GI,INTERMEDIATE,MEN,ARMBAR,SJU MMA,PHILLY 2010,2010
103,NO GI,INTERMEDIATE,MEN,ARMBAR,SJU MMA,PHILLY 2010,2010
950,NO GI,INTERMEDIATE,MEN,ARMBAR,DRAGON DOJO,PHILLY 2010,2010
165,NO GI,INTERMEDIATE,MEN,ARMBAR,WARRIOR'S COVE,PHILLY 2010,2010
111,NO GI,INTERMEDIATE,MEN,ARMBAR,PARAMOUNT JJ,PHILLY 2010,2010
858,NO GI,INTERMEDIATE,MEN 30+ ,ARMBAR,NEXT GEN MMA,PHILLY 2010,2010
2551,NO GI,INTERMEDIATE,WOMEN,ARMBAR,NA,RICHMOND 2013,2013
1689,NO GI,INTERMEDIATE,WOMEN,ARMBAR,NA,RICHMOND 2013,2013
1613,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,RICHMOND 2013,2013
1524,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,RICHMOND 2013,2013
1467,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,RICHMOND 2013,2013
1236,NO GI,INTERMEDIATE,MEN 30+,ARMBAR,NA,RICHMOND 2013,2013
1103,NO GI,INTERMEDIATE,MEN 30+,ARMBAR,NA,RICHMOND 2013,2013
1041,NO GI,INTERMEDIATE,MEN 30+,ARMBAR,NA,RICHMOND 2013,2013
942,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,RICHMOND 2013,2013
938,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,RICHMOND 2013,2013
573,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,RICHMOND 2013,2013
566,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,RICHMOND 2013,2013
496,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,RICHMOND 2013,2013
405,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,RICHMOND 2013,2013
327,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,RICHMOND 2013,2013
270,NO GI,INTERMEDIATE,MEN 30+,ARMBAR,NA,RICHMOND 2013,2013
227,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,RICHMOND 2013,2013
216,NO GI,INTERMEDIATE,MEN 30+,ARMBAR,NA,RICHMOND 2013,2013
197,NO GI,INTERMEDIATE,WOMEN,ARMBAR,NA,RICHMOND 2013,2013
188,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,RICHMOND 2013,2013
178,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,RICHMOND 2013,2013
156,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,RICHMOND 2013,2013
74,NO GI,INTERMEDIATE,MEN 30+,ARMBAR,NA,RICHMOND 2013,2013
72,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,RICHMOND 2013,2013
65,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,RICHMOND 2013,2013
32,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,RICHMOND 2013,2013
17,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,RICHMOND 2013,2013
14,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,RICHMOND 2013,2013
45,NO GI,INTERMEDIATE,MEN 30+,ARMBAR,NA,CHICAGO 2014,2014
432,NO GI,INTERMEDIATE,MEN 30+,ARMBAR,NA,CHICAGO 2014,2014
178,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,CHICAGO 2014,2014
125,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,CHICAGO 2014,2014
390,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,CHICAGO 2014,2014
390,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,CHICAGO 2014,2014
1380,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,CHICAGO 2014,2014
50,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,CHICAGO 2014,2014
180,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,CHICAGO 2014,2014
35,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,CHICAGO 2014,2014
45,NO GI,INTERMEDIATE,MEN 30+,ARMBAR,NA,CHICAGO 2014,2014
432,NO GI,INTERMEDIATE,MEN 30+,ARMBAR,NA,CHICAGO 2014,2014
178,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,CHICAGO 2014,2014
125,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,CHICAGO 2014,2014
390,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,CHICAGO 2014,2014
390,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,CHICAGO 2014,2014
1380,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,CHICAGO 2014,2014
50,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,CHICAGO 2014,2014
180,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,CHICAGO 2014,2014
35,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,CHICAGO 2014,2014
312,NO GI,INTERMEDIATE,MEN 30+,ARMBAR,NA,GREENSBORO 2014,2014
41,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,GREENSBORO 2014,2014
64,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,GREENSBORO 2014,2014
82,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,GREENSBORO 2014,2014
141,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,GREENSBORO 2014,2014
171,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,GREENSBORO 2014,2014
207,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,GREENSBORO 2014,2014
396,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,GREENSBORO 2014,2014
453,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,GREENSBORO 2014,2014
546,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,GREENSBORO 2014,2014
683,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,GREENSBORO 2014,2014
7054,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,GREENSBORO 2014,2014
44,NO GI,INTERMEDIATE,MEN 30+,ARMBAR,NA,RICHMOND 2014,2014
264,NO GI,INTERMEDIATE,MEN 30+,ARMBAR,NA,RICHMOND 2014,2014
724,NO GI,INTERMEDIATE,MEN 30+,ARMBAR,NA,RICHMOND 2014,2014
1112,NO GI,INTERMEDIATE,MEN 30+,ARMBAR,NA,RICHMOND 2014,2014
1218,NO GI,INTERMEDIATE,MEN 30+,ARMBAR,NA,RICHMOND 2014,2014
90,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,RICHMOND 2014,2014
101,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,RICHMOND 2014,2014
103,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,RICHMOND 2014,2014
119,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,RICHMOND 2014,2014
141,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,RICHMOND 2014,2014
143,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,RICHMOND 2014,2014
185,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,RICHMOND 2014,2014
190,NO GI,INTERMEDIATE,MEN,ARMBAR,NA,RICHMOND 2014,2014
